Country Name,Country Code,Region,IncomeGroup,PPP Ratio (2024),Std Family Urban (Annual),Std Family Rural (Annual),Typical Fam Urban (Annual),Typical Fam Rural (Annual),Single Indiv Urban (Annual),Single Indiv Rural (Annual),Single Parent Urban (Annual),Single Parent Rural (Annual),Source,Median(LW),U/R Gap%(std fam),U/R Gap%(single parent),U/R Gap%(single individual),U/R Gap%(Typical Fam),(Sing parent burden% vs std fam(U))
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,0.302,9026,5038,8753,4898,6261,3189,13987,7222,PPP Model,6742.0,79.16,93.67,96.33,78.71,54.96
Lao PDR,LAO,East Asia & Pacific,Lower middle income,0.217,6455,3582,6445,3620,4269,2167,9939,5074,PPP Model,4672.0,80.21,95.88,97.0,78.04,53.97
Latvia,LVA,Europe & Central Asia,High income,0.537,17526,10339,15582,8963,11420,6364,26836,14738,Numbeo,13079.0,69.51,82.09,79.45,73.85,53.12
Lebanon,LBN,Middle East & North Africa,Lower middle income,0.0,11782,5469,10756,5050,8493,3903,18452,7638,Numbeo,8066.0,115.43,141.58,117.6,112.99,56.61
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,0.324,9689,5414,9338,5221,6788,3461,15034,7782,PPP Model,7285.0,78.96,93.19,96.13,78.85,55.17
Liberia,LBR,Sub-Saharan Africa,Low income,0.455,13696,7700,12809,7132,10081,5158,21395,11205,PPP Model,10643.0,77.87,90.94,95.44,79.6,56.21
Libya,LBY,Middle East & North Africa,Upper middle income,0.459,13823,7773,12918,7192,10188,5214,21598,11315,PPP Model,10752.0,77.83,90.88,95.4,79.62,56.25
Liechtenstein,LIE,Europe & Central Asia,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Lithuania,LTU,Europe & Central Asia,High income,0.531,20222,11377,17743,9633,16001,7773,31466,16437,Numbeo,16219.0,77.74,91.43,105.85,84.19,55.6
Luxembourg,LUX,Europe & Central Asia,High income,0.883,31546,16772,28467,14714,26227,13291,51934,26124,Numbeo,26176.0,88.09,98.8,97.33,93.47,64.63
"Macao SAR, China",MAC,East Asia & Pacific,High income,0.567,17133,9670,15715,8727,13019,6678,26880,14185,PPP Model,13602.0,77.18,89.5,94.95,80.07,56.89
Madagascar,MDG,Sub-Saharan Africa,Low income,0.289,8640,4818,8410,4708,5955,3032,13377,6897,PPP Model,6426.0,79.33,93.95,96.41,78.63,54.83
Malawi,MWI,Sub-Saharan Africa,Low income,0.281,8396,4680,8193,4588,5764,2934,12992,6692,PPP Model,6228.0,79.4,94.14,96.46,78.57,54.74
Malaysia,MYS,East Asia & Pacific,Upper middle income,0.306,9817,5892,8675,5115,7185,3818,14913,8314,Numbeo,7750.0,66.62,79.37,88.19,69.6,51.91
Maldives,MDV,South Asia,Upper middle income,0.511,15409,8681,14265,7931,11534,5909,24126,12686,PPP Model,12110.0,77.5,90.18,95.19,79.86,56.57
Mali,MLI,Sub-Saharan Africa,Low income,0.33,9883,5525,9509,5315,6944,3541,15342,7946,PPP Model,7445.0,78.88,93.08,96.1,78.91,55.24
Malta,MLT,Middle East & North Africa,High income,0.628,19449,10861,16422,8838,16009,8180,31397,16523,Numbeo,16216.0,79.07,90.02,95.71,85.81,61.43
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,0.943,28735,16364,25199,13909,23504,12122,45533,24455,PPP Model,23980.0,75.6,86.19,93.9,81.17,58.46
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,0.286,8549,4767,8329,4664,5884,2996,13234,6821,PPP Model,6352.0,79.34,94.02,96.4,78.58,54.8
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,0.377,9844,5905,8735,5133,7307,3783,15086,8484,Numbeo,7896.0,66.71,77.82,93.15,70.17,53.25
Mexico,MEX,Latin America & Caribbean,Upper middle income,0.542,14708,8070,13473,7364,11067,5318,23177,11802,Numbeo,11434.0,82.26,96.38,108.1,82.96,57.58
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,0.958,29217,16643,25585,14119,23955,12356,46311,24888,PPP Model,24422.0,75.55,86.08,93.87,81.21,58.51
Moldova,MDA,Europe & Central Asia,Upper middle income,0.407,12777,6447,11368,5662,9444,4312,20622,9636,Numbeo,9540.0,98.19,114.01,119.02,100.78,61.4
Monaco,MCO,Europe & Central Asia,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Mongolia,MNG,East Asia & Pacific,Upper middle income,0.353,10565,5913,10106,5644,7494,3824,16421,8525,PPP Model,8010.0,78.67,92.62,95.97,79.06,55.43
Montenegro,MNE,Europe & Central Asia,Upper middle income,0.389,13773,7856,13914,7863,10847,5396,21643,11558,Numbeo,11202.0,75.32,87.26,101.02,76.96,57.14
Morocco,MAR,Middle East & North Africa,Lower middle income,0.399,7533,4061,7669,4177,5592,2576,11763,5836,Numbeo,5714.0,85.5,101.56,117.08,83.6,56.15
Mozambique,MOZ,Sub-Saharan Africa,Low income,0.385,11557,6478,10969,6120,8303,4241,17994,9370,PPP Model,8836.0,78.4,92.04,95.78,79.23,55.7
Myanmar,MMR,East Asia & Pacific,Lower middle income,0.227,6738,3742,6702,3763,4483,2277,10382,5308,PPP Model,4896.0,80.06,95.59,96.88,78.1,54.08
Namibia,NAM,Sub-Saharan Africa,Lower middle income,0.378,11328,6347,10770,6010,8115,4144,17631,9174,PPP Model,8644.0,78.48,92.18,95.83,79.2,55.64
Nauru,NRU,East Asia & Pacific,High income,0.96,29274,16676,25630,14144,24007,12384,46402,24938,PPP Model,24472.0,75.55,86.07,93.85,81.21,58.51
Nepal,NPL,South Asia,Lower middle income,0.252,3966,2379,3978,2385,2412,1306,5959,3309,Numbeo,2860.0,66.71,80.08,84.69,66.79,50.25
Netherlands,NLD,Europe & Central Asia,High income,0.792,36721,19730,32718,17237,32621,16027,59008,29802,Numbeo,31212.0,86.12,98.0,103.54,89.81,60.69
New Caledonia,NCL,East Asia & Pacific,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
New Zealand,NZL,East Asia & Pacific,High income,0.886,20703,12438,18650,11075,17472,9478,32204,18329,Numbeo,17900.0,66.45,75.7,84.34,68.4,55.55
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,0.327,9784,5468,9422,5267,6865,3500,15185,7862,PPP Model,7364.0,78.93,93.14,96.14,78.89,55.2
Niger,NER,Sub-Saharan Africa,Low income,0.359,10750,6018,10267,5733,7644,3901,16715,8682,PPP Model,8163.0,78.63,92.52,95.95,79.09,55.49
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,0.119,18061,8211,19365,9734,11597,5519,29266,12114,Numbeo,11856.0,119.96,141.59,110.13,98.94,62.04
North Macedonia,MKD,Europe & Central Asia,Upper middle income,0.344,8101,4921,7775,4640,6045,3347,12260,6953,Numbeo,6499.0,64.62,76.33,80.61,67.56,51.34
Northern Mariana Islands,MNP,East Asia & Pacific,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Norway,NOR,Europe & Central Asia,High income,0.851,23809,14229,20869,12231,19976,10457,36912,20754,Numbeo,20365.0,67.33,77.85,91.03,70.62,55.03
Oman,OMN,Middle East & North Africa,High income,0.486,12408,6981,12185,6981,9273,4768,19014,9899,Numbeo,9586.0,77.74,92.08,94.48,74.55,53.24
Pakistan,PAK,Middle East & North Africa,Lower middle income,0.237,3988,2336,4659,2870,2405,1284,6080,3297,Numbeo,3084.0,70.72,84.41,87.31,62.33,52.46
Palau,PLW,East Asia & Pacific,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Panama,PAN,Latin America & Caribbean,High income,0.463,18521,10228,18408,10211,14532,7381,29493,15220,Numbeo,14876.0,81.08,93.78,96.88,80.28,59.24
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,0.617,18660,10547,16989,9425,14353,7368,29324,15520,PPP Model,14936.0,76.92,88.94,94.8,80.25,57.15
Paraguay,PRY,Latin America & Caribbean,Upper middle income,0.346,10375,5805,9940,5553,7340,3745,16120,8363,PPP Model,7852.0,78.73,92.75,95.99,79.0,55.37
Peru,PER,Latin America & Caribbean,Upper middle income,0.475,11777,6275,11153,5938,9048,4017,18414,8998,Numbeo,9023.0,87.68,104.65,125.24,87.82,56.36
Philippines,PHL,East Asia & Pacific,Lower middle income,0.338,8964,5272,8158,4780,5971,3133,13515,7312,Numbeo,6642.0,70.03,84.83,90.58,70.67,50.77
Poland,POL,Europe & Central Asia,High income,0.49,15917,9005,13487,7396,13194,6833,25291,13452,Numbeo,13323.0,76.76,88.01,93.09,82.36,58.89
Portugal,PRT,Europe & Central Asia,High income,0.559,20708,11271,18928,10090,17437,8677,33206,16964,Numbeo,17200.0,83.73,95.74,100.96,87.59,60.35
Puerto Rico (US),PRI,Latin America & Caribbean,High income,0.783,20717,11691,17330,9296,14687,7327,32366,16961,Numbeo,15824.0,77.2,90.83,100.45,86.42,56.23
Qatar,QAT,Middle East & North Africa,High income,0.608,23666,11398,20973,10008,19829,7913,39723,18155,Numbeo,18992.0,107.63,118.8,150.59,109.56,67.85
Romania,ROU,Europe & Central Asia,High income,0.409,14402,8400,13241,7641,11133,5791,22352,12180,Numbeo,11656.0,71.45,83.51,92.25,73.29,55.2
Russian Federation,RUS,Europe & Central Asia,High income,0.314,10618,5963,9197,5042,8159,4064,16571,8650,Numbeo,8404.0,78.06,91.57,100.76,82.41,56.07
Rwanda,RWA,Sub-Saharan Africa,Low income,0.269,8034,4475,7870,4410,5481,2789,12422,6388,PPP Model,5934.0,79.53,94.46,96.52,78.46,54.62
Samoa,WSM,East Asia & Pacific,Upper middle income,0.617,18675,10555,17001,9432,14366,7375,29347,15532,PPP Model,14949.0,76.93,88.95,94.79,80.25,57.15
San Marino,SMR,Europe & Central Asia,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,0.559,16890,9530,15511,8615,12808,6568,26490,13973,PPP Model,13390.0,77.23,89.58,95.01,80.05,56.84
Saudi Arabia,SAU,Middle East & North Africa,High income,0.492,12110,6859,11655,6669,9473,4935,18832,9917,Numbeo,9695.0,76.56,89.9,91.96,74.76,55.51
Senegal,SEN,Sub-Saharan Africa,Lower middle income,0.35,10476,5862,10028,5602,7422,3787,16281,8449,PPP Model,7936.0,78.71,92.7,95.99,79.01,55.41
Serbia,SRB,Europe & Central Asia,Upper middle income,0.417,14092,7986,13084,7302,10336,5409,22065,11658,Numbeo,10997.0,76.46,89.27,91.09,79.18,56.58
Seychelles,SYC,Sub-Saharan Africa,High income,0.537,16216,9143,14945,8305,12226,6267,25414,13387,PPP Model,12806.0,77.36,89.84,95.09,79.95,56.72
Sierra Leone,SLE,Sub-Saharan Africa,Low income,0.229,6811,3783,6768,3800,4538,2305,10497,5368,PPP Model,4953.0,80.04,95.55,96.88,78.11,54.12
Singapore,SGP,East Asia & Pacific,High income,0.602,41339,18404,36290,15511,32606,14828,69067,28795,Numbeo,30700.0,124.62,139.86,119.89,133.96,67.07
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,0.771,23426,13293,20911,11570,18612,9578,36974,19721,PPP Model,19166.0,76.23,87.49,94.32,80.73,57.83
Slovak Republic,SVK,Europe & Central Asia,High income,0.543,18862,11230,16885,9881,15398,8049,29324,16407,Numbeo,15902.0,67.96,78.73,91.3,70.88,55.47
Slovenia,SVN,Europe & Central Asia,High income,0.596,24503,13890,21745,12106,18086,9849,38630,20510,Numbeo,19298.0,76.41,88.35,83.63,79.62,57.65
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,0.723,21929,12429,19687,10901,17260,8876,34568,18396,PPP Model,17828.0,76.43,87.91,94.46,80.6,57.64
"Somalia, Fed. Rep.",SOM,Sub-Saharan Africa,Low income,0.393,11797,6615,11177,6234,8500,4343,18375,9575,PPP Model,9038.0,78.34,91.91,95.72,79.29,55.76
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,0.405,12478,7259,16952,9926,8893,4933,19323,10536,Numbeo,10231.0,71.9,83.4,80.28,70.78,54.86
South Sudan,SSD,Sub-Saharan Africa,Low income,0.0,9977,5581,9573,5349,7047,3595,15499,8037,Income Avg,7542.0,78.77,92.85,96.02,78.97,55.35
Spain,ESP,Europe & Central Asia,High income,0.608,17799,9815,16513,8791,15323,7559,28434,14703,Numbeo,15013.0,81.34,93.39,102.71,87.84,59.75
Sri Lanka,LKA,South Asia,Lower middle income,0.289,9980,5035,9351,4710,6550,3150,15419,6939,Numbeo,6744.0,98.21,122.21,107.94,98.54,54.5
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,0.688,20842,11803,18794,10413,16285,8370,32821,17437,PPP Model,16861.0,76.58,88.23,94.56,80.49,57.48
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,0.514,15515,8741,14354,7980,11624,5956,24294,12777,PPP Model,12200.0,77.5,90.14,95.16,79.87,56.58
St. Martin (French part),MAF,Latin America & Caribbean,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,0.541,16320,9203,15032,8353,12316,6314,25580,13477,PPP Model,12896.0,77.33,89.8,95.06,79.96,56.74
Sudan,SDN,Sub-Saharan Africa,Low income,0.465,14010,7879,13077,7279,10345,5295,21895,11476,PPP Model,10910.0,77.81,90.79,95.37,79.65,56.28
Suriname,SUR,Latin America & Caribbean,Upper middle income,0.319,9552,5336,9217,5154,6679,3404,14818,7666,PPP Model,7172.0,79.01,93.3,96.21,78.83,55.13
Sweden,SWE,Europe & Central Asia,High income,0.803,19539,11794,17976,10661,15127,8265,29893,16944,Numbeo,16036.0,65.67,76.42,83.02,68.61,52.99
Switzerland,CHE,Europe & Central Asia,High income,1.078,34728,19367,30750,16760,28139,14388,55573,29201,Numbeo,28670.0,79.32,90.31,95.57,83.47,60.02
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,0.0,9977,5581,9573,5349,7047,3595,15499,8037,Income Avg,7542.0,78.77,92.85,96.02,78.97,55.35
Tajikistan,TJK,Europe & Central Asia,Lower middle income,0.248,7388,4109,7290,4089,4981,2532,11405,5849,PPP Model,5415.0,79.8,94.99,96.72,78.28,54.37
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,0.281,8391,4677,8189,4586,5760,2932,12985,6688,PPP Model,6224.0,79.41,94.15,96.45,78.57,54.75
Thailand,THA,East Asia & Pacific,Upper middle income,0.297,12496,6317,10518,5091,7786,3836,19641,9031,Numbeo,8408.0,97.82,117.48,102.97,106.6,57.18
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,0.301,8999,5022,8729,4884,6239,3178,13944,7199,PPP Model,6719.0,79.19,93.69,96.32,78.73,54.95
Togo,TGO,Sub-Saharan Africa,Low income,0.333,9956,5566,9572,5350,7002,3571,15457,8008,PPP Model,7505.0,78.87,93.02,96.08,78.92,55.25
Tonga,TON,East Asia & Pacific,Upper middle income,0.0,12352,6933,11622,6453,9088,4637,19272,10053,Income Avg,9570.0,78.16,91.7,95.99,80.1,56.02
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,0.516,15552,8763,14386,7998,11656,5972,24354,12810,PPP Model,12233.0,77.47,90.12,95.18,79.87,56.6
Tunisia,TUN,Middle East & North Africa,Lower middle income,0.288,6072,3763,6300,3883,4323,2316,9149,5297,Numbeo,4810.0,61.36,72.72,86.66,62.25,50.68
Turkiye,TUR,Europe & Central Asia,Upper middle income,0.348,13757,7565,12914,6961,11185,5574,21523,10983,Numbeo,11084.0,81.85,95.97,100.66,85.52,56.45
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,0.323,9670,5404,9321,5211,6773,3453,15005,7766,PPP Model,7270.0,78.94,93.21,96.15,78.87,55.17
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,0.988,30142,17179,26324,14521,24823,12808,47806,25718,PPP Model,25270.0,75.46,85.89,93.81,81.28,58.6
Tuvalu,TUV,East Asia & Pacific,Upper middle income,0.0,12352,6933,11622,6453,9088,4637,19272,10053,Income Avg,9570.0,78.16,91.7,95.99,80.1,56.02
Uganda,UGA,Sub-Saharan Africa,Low income,0.329,9855,5509,9484,5301,6922,3529,15298,7923,PPP Model,7422.0,78.89,93.08,96.15,78.91,55.23
Ukraine,UKR,Europe & Central Asia,Upper middle income,0.291,8636,4993,6802,3749,6488,3314,13301,7126,Numbeo,6645.0,72.96,86.65,95.78,81.44,54.02
United Arab Emirates,ARE,Middle East & North Africa,High income,0.635,21935,11449,19095,9727,18050,7937,36386,18091,Numbeo,18070.0,91.59,101.13,127.42,96.31,65.88
United Kingdom,GBR,Europe & Central Asia,High income,0.849,29097,15926,26318,14204,25088,12543,46684,24104,Numbeo,24596.0,82.7,93.68,100.02,85.29,60.44
United States,USA,North America,High income,1.0,29831,17086,26925,15234,25444,12898,47632,25780,Numbeo,25612.0,74.59,84.76,97.27,76.74,59.67
Uruguay,URY,Latin America & Caribbean,High income,0.656,15541,9486,14088,8433,11491,6321,23779,13632,Numbeo,12562.0,63.83,74.44,81.79,67.06,53.01
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,0.266,9581,4680,10295,5385,7375,3275,15327,6831,Numbeo,7103.0,104.72,124.37,125.19,91.18,59.97
Vanuatu,VUT,East Asia & Pacific,Lower middle income,0.946,28832,16420,25277,13951,23594,12168,45688,24542,PPP Model,24068.0,75.59,86.16,93.9,81.18,58.46
"Venezuela, RB",VEN,Latin America & Caribbean,0,0.0,9089,6016,8719,5785,6542,3899,13012,8069,Numbeo,7306.0,51.08,61.26,67.79,50.72,43.16
Viet Nam,VNM,East Asia & Pacific,Lower middle income,0.288,9656,5229,8751,4720,6649,3264,15257,7643,Numbeo,7146.0,84.66,99.62,103.71,85.4,58.01
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,0.0,22128,12429,19753,10854,17500,8975,35020,18450,Income Avg,17975.0,78.04,89.81,94.99,81.99,58.26
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,0.593,17930,10127,16381,9092,13713,7037,28154,14881,PPP Model,14297.0,77.05,89.19,94.87,80.17,57.02
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,0.0,9977,5581,9573,5349,7047,3595,15499,8037,Income Avg,7542.0,78.77,92.85,96.02,78.97,55.35
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,0.282,8406,4686,8202,4593,5772,2938,13008,6701,PPP Model,6236.0,79.39,94.12,96.46,78.58,54.75
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,0.421,9682,5766,11654,7275,6024,3398,14830,8247,Numbeo,7761.0,67.92,79.82,77.28,60.19,53.17
