Country Name,City,Country Code,Region,IncomeGroup,"PPP Ratio
Thailand,,THA,East Asia & Pacific,Upper middle income,0.297,"USD 12,496","USD 6,317","USD 10,518","USD 5,091","USD 7,786","USD 3,836","USD 19,641","USD 9,031",Numbeo
Tajikistan,,TJK,Europe & Central Asia,Lower middle income,0.248,"USD 7,388","USD 4,109","USD 7,290","USD 4,089","USD 4,981","USD 2,532","USD 11,405","USD 5,849",PPP Model
Turkmenistan,,TKM,Europe & Central Asia,Upper middle income,0.323,"USD 9,670","USD 5,404","USD 9,321","USD 5,211","USD 6,773","USD 3,453","USD 15,005","USD 7,766",PPP Model
Latin America & the Caribbean (IDA & IBRD countries),,TLA,,,0.000,"USD 13,129","USD 7,408","USD 12,223","USD 6,832","USD 9,637","USD 4,979","USD 20,434","USD 10,719",Aggregate
Timor-Leste,,TLS,East Asia & Pacific,Lower middle income,0.301,"USD 8,999","USD 5,022","USD 8,729","USD 4,884","USD 6,239","USD 3,178","USD 13,944","USD 7,199",PPP Model
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",,TMN,,,0.000,"USD 9,108","USD 5,124","USD 9,065","USD 5,142","USD 6,522","USD 3,324","USD 14,122","USD 7,367",Aggregate
Tonga,,TON,East Asia & Pacific,Upper middle income,0.000,"USD 12,352","USD 6,933","USD 11,622","USD 6,453","USD 9,088","USD 4,637","USD 19,272","USD 10,053",Income Avg
South Asia (IDA & IBRD),,TSA,,,0.000,"USD 8,231","USD 4,608","USD 7,779","USD 4,341","USD 5,633","USD 2,898","USD 12,724","USD 6,576",Aggregate
Sub-Saharan Africa (IDA & IBRD countries),,TSS,,,0.000,"USD 10,608","USD 5,906","USD 10,346","USD 5,778","USD 7,471","USD 3,821","USD 16,510","USD 8,522",Aggregate
Trinidad and Tobago,,TTO,Latin America & Caribbean,High income,0.516,"USD 15,552","USD 8,763","USD 14,386","USD 7,998","USD 11,656","USD 5,972","USD 24,354","USD 12,810",PPP Model
Tunisia,,TUN,Middle East & North Africa,Lower middle income,0.288,"USD 6,072","USD 3,763","USD 6,300","USD 3,883","USD 4,323","USD 2,316","USD 9,149","USD 5,297",Numbeo
Turkiye,,TUR,Europe & Central Asia,Upper middle income,0.348,"USD 13,757","USD 7,565","USD 12,914","USD 6,961","USD 11,185","USD 5,574","USD 21,523","USD 10,983",Numbeo
Tuvalu,,TUV,East Asia & Pacific,Upper middle income,0.000,"USD 12,352","USD 6,933","USD 11,622","USD 6,453","USD 9,088","USD 4,637","USD 19,272","USD 10,053",Income Avg
Tanzania,,TZA,Sub-Saharan Africa,Lower middle income,0.281,"USD 8,391","USD 4,677","USD 8,189","USD 4,586","USD 5,760","USD 2,932","USD 12,985","USD 6,688",PPP Model
Uganda,,UGA,Sub-Saharan Africa,Low income,0.329,"USD 9,855","USD 5,509","USD 9,484","USD 5,301","USD 6,922","USD 3,529","USD 15,298","USD 7,923",PPP Model
Ukraine,,UKR,Europe & Central Asia,Upper middle income,0.291,"USD 8,636","USD 4,993","USD 6,802","USD 3,749","USD 6,488","USD 3,314","USD 13,301","USD 7,126",Numbeo
Upper middle income,,UMC,,,0.000,"USD 12,352","USD 6,933","USD 11,622","USD 6,453","USD 9,088","USD 4,637","USD 19,272","USD 10,053",Aggregate
Uruguay,,URY,Latin America & Caribbean,High income,0.656,"USD 15,541","USD 9,486","USD 14,088","USD 8,433","USD 11,491","USD 6,321","USD 23,779","USD 13,632",Numbeo
United States,,USA,North America,High income,1.000,"USD 29,831","USD 17,086","USD 26,925","USD 15,234","USD 25,444","USD 12,898","USD 47,632","USD 25,780",Numbeo
Uzbekistan,,UZB,Europe & Central Asia,Lower middle income,0.266,"USD 9,581","USD 4,680","USD 10,295","USD 5,385","USD 7,375","USD 3,275","USD 15,327","USD 6,831",Numbeo
St. Vincent and the Grenadines,,VCT,Latin America & Caribbean,Upper middle income,0.541,"USD 16,320","USD 9,203","USD 15,032","USD 8,353","USD 12,316","USD 6,314","USD 25,580","USD 13,477",PPP Model
"Venezuela, RB",,VEN,Latin America & Caribbean,0,0.000,"USD 9,089","USD 6,016","USD 8,719","USD 5,785","USD 6,542","USD 3,899","USD 13,012","USD 8,069",Numbeo
British Virgin Islands,,VGB,Latin America & Caribbean,High income,0.000,"USD 22,128","USD 12,429","USD 19,753","USD 10,854","USD 17,500","USD 8,975","USD 35,020","USD 18,450",Income Avg
Virgin Islands (U.S.),,VIR,Latin America & Caribbean,High income,0.000,"USD 22,128","USD 12,429","USD 19,753","USD 10,854","USD 17,500","USD 8,975","USD 35,020","USD 18,450",Income Avg
Viet Nam,,VNM,East Asia & Pacific,Lower middle income,0.288,"USD 9,656","USD 5,229","USD 8,751","USD 4,720","USD 6,649","USD 3,264","USD 15,257","USD 7,643",Numbeo
Vanuatu,,VUT,East Asia & Pacific,Lower middle income,0.946,"USD 28,832","USD 16,420","USD 25,277","USD 13,951","USD 23,594","USD 12,168","USD 45,688","USD 24,542",PPP Model
World,,WLD,,,0.000,"USD 15,648","USD 8,775","USD 14,366","USD 7,943","USD 11,922","USD 6,103","USD 24,598","USD 12,883",Aggregate
Samoa,,WSM,East Asia & Pacific,Upper middle income,0.617,"USD 18,675","USD 10,555","USD 17,001","USD 9,432","USD 14,366","USD 7,375","USD 29,347","USD 15,532",PPP Model
Kosovo,,XKX,Europe & Central Asia,Upper middle income,0.393,"USD 7,350","USD 4,466","USD 6,210","USD 3,716","USD 5,468","USD 2,936","USD 11,278","USD 6,426",Numbeo
"Yemen, Rep.",,YEM,Middle East & North Africa,Low income,0.000,"USD 9,977","USD 5,581","USD 9,573","USD 5,349","USD 7,047","USD 3,595","USD 15,499","USD 8,037",Income Avg
South Africa,,ZAF,Sub-Saharan Africa,Upper middle income,0.405,"USD 12,478","USD 7,259","USD 16,952","USD 9,926","USD 8,893","USD 4,933","USD 19,323","USD 10,536",Numbeo
Zambia,,ZMB,Sub-Saharan Africa,Lower middle income,0.282,"USD 8,406","USD 4,686","USD 8,202","USD 4,593","USD 5,772","USD 2,938","USD 13,008","USD 6,701",PPP Model
Zimbabwe,,ZWE,Sub-Saharan Africa,Lower middle income,0.421,"USD 9,682","USD 5,766","USD 11,654","USD 7,275","USD 6,024","USD 3,398","USD 14,830","USD 8,247",Numbeo
Switzerland,Geneva,CHE,Europe & Central Asia,High income,1.078,"USD 41,982","USD 22,028","USD 37,533","USD 19,228","USD 36,264","USD 16,918","USD 68,604","USD 33,945",Numbeo City
Switzerland,Zurich,CHE,Europe & Central Asia,High income,1.078,"USD 49,570","USD 23,121","USD 44,610","USD 20,204","USD 37,827","USD 17,565","USD 81,733","USD 35,503",Numbeo City
Switzerland,Lausanne,CHE,Europe & Central Asia,High income,1.078,"USD 36,949","USD 20,328","USD 32,848","USD 17,671","USD 28,607","USD 14,864","USD 59,662","USD 31,000",Numbeo City
Switzerland,Basel,CHE,Europe & Central Asia,High income,1.078,"USD 34,994","USD 19,294","USD 30,980","USD 16,674","USD 28,456","USD 13,850","USD 55,905","USD 28,953",Numbeo City
United States,"Miami, FL",USA,North America,High income,1.000,"USD 50,518","USD 24,193","USD 46,181","USD 21,780","USD 42,370","USD 18,557","USD 83,167","USD 37,230",Numbeo City
Switzerland,Bern,CHE,Europe & Central Asia,High income,1.078,"USD 33,736","USD 18,093","USD 29,833","USD 15,576","USD 26,734","USD 13,057","USD 53,862","USD 26,971",Numbeo City
United Kingdom,London,GBR,Europe & Central Asia,High income,0.849,"USD 54,751","USD 26,922","USD 50,391","USD 24,494","USD 52,126","USD 23,680","USD 89,905","USD 41,762",Numbeo City
Luxembourg,Luxembourg,LUX,Europe & Central Asia,High income,0.883,"USD 33,911","USD 17,611","USD 30,742","USD 15,521","USD 28,754","USD 14,726","USD 56,193","USD 27,636",Numbeo City
Norway,Oslo,NOR,Europe & Central Asia,High income,0.851,"USD 27,841","USD 16,211","USD 24,593","USD 14,042","USD 25,823","USD 12,946","USD 43,911","USD 24,102",Numbeo City
Israel,Tel Aviv-Yafo,ISR,Middle East & North Africa,High income,0.947,"USD 37,502","USD 19,914","USD 37,463","USD 20,446","USD 32,951","USD 14,648","USD 60,570","USD 30,194",Numbeo City
United States,"Atlanta, GA",USA,North America,High income,1.000,"USD 36,373","USD 18,340","USD 32,971","USD 16,336","USD 29,831","USD 14,605","USD 58,343","USD 27,199",Numbeo City
United States,"Honolulu, HI",USA,North America,High income,1.000,"USD 52,291","USD 28,669","USD 47,461","USD 25,656","USD 40,732","USD 20,039","USD 83,608","USD 42,942",Numbeo City
United States,"Las Vegas, NV",USA,North America,High income,1.000,"USD 27,982","USD 16,181","USD 25,251","USD 14,436","USD 23,869","USD 12,554","USD 44,778","USD 24,550",Numbeo City
United States,"Los Angeles, CA",USA,North America,High income,1.000,"USD 51,874","USD 24,248","USD 47,498","USD 21,869","USD 38,502","USD 20,062","USD 86,054","USD 37,689",Numbeo City
United States,"New York, NY",USA,North America,High income,1.000,"USD 77,078","USD 30,483","USD 71,013","USD 27,616","USD 58,611","USD 23,638","USD 130,141","USD 47,886",Numbeo City
United States,"San Francisco, CA",USA,North America,High income,1.000,"USD 53,603","USD 28,431","USD 48,929","USD 25,632","USD 48,034","USD 23,151","USD 87,881","USD 44,110",Numbeo City
United States,"Washington, DC",USA,North America,High income,1.000,"USD 49,266","USD 25,902","USD 45,026","USD 23,397","USD 38,553","USD 18,538","USD 80,995","USD 40,381",Numbeo City
United Kingdom,Edinburgh,GBR,Europe & Central Asia,High income,0.849,"USD 34,821","USD 17,421","USD 31,679","USD 15,589","USD 28,725","USD 13,237","USD 56,854","USD 26,678",Numbeo City
United States,"San Diego, CA",USA,North America,High income,1.000,"USD 47,259","USD 24,059","USD 43,219","USD 21,733","USD 43,160","USD 20,759","USD 78,536","USD 37,954",Numbeo City
United States,"Boston, MA",USA,North America,High income,1.000,"USD 53,510","USD 24,657","USD 48,963","USD 22,194","USD 46,894","USD 21,047","USD 88,635","USD 38,095",Numbeo City
Denmark,Copenhagen,DNK,Europe & Central Asia,High income,0.878,"USD 34,485","USD 17,614","USD 31,479","USD 15,747","USD 29,337","USD 13,698","USD 55,358","USD 26,261",Numbeo City
Italy,Milan,ITA,Europe & Central Asia,High income,0.649,"USD 41,096","USD 19,297","USD 37,232","USD 16,781","USD 31,144","USD 14,237","USD 67,113","USD 29,079",Numbeo City
Netherlands,Amsterdam,NLD,Europe & Central Asia,High income,0.792,"USD 49,184","USD 24,732","USD 44,272","USD 21,833","USD 47,092","USD 20,660","USD 80,756","USD 38,256",Numbeo City
Netherlands,Eindhoven,NLD,Europe & Central Asia,High income,0.792,"USD 35,034","USD 18,986","USD 31,168","USD 16,564","USD 32,372","USD 16,129","USD 56,018","USD 28,514",Numbeo City
Netherlands,Rotterdam,NLD,Europe & Central Asia,High income,0.792,"USD 40,209","USD 21,927","USD 35,937","USD 19,256","USD 34,859","USD 17,468","USD 64,900","USD 33,457",Numbeo City
Cyprus,Limassol,CYP,Europe & Central Asia,High income,0.614,"USD 23,690","USD 12,311","USD 21,363","USD 10,846","USD 20,357","USD 10,295","USD 38,601","USD 18,844",Numbeo City
Ireland,Dublin,IRL,Europe & Central Asia,High income,0.802,"USD 41,461","USD 20,966","USD 37,828","USD 18,846","USD 36,863","USD 18,176","USD 68,742","USD 33,008",Numbeo City
Italy,Bologna,ITA,Europe & Central Asia,High income,0.649,"USD 28,783","USD 16,083","USD 25,533","USD 13,816","USD 21,212","USD 11,378","USD 45,541","USD 23,786",Numbeo City
United States,"Seattle, WA",USA,North America,High income,1.000,"USD 45,928","USD 23,907","USD 41,819","USD 21,462","USD 37,203","USD 18,102","USD 74,592","USD 36,429",Numbeo City
United States,"Portland, OR",USA,North America,High income,1.000,"USD 37,580","USD 19,731","USD 34,127","USD 17,661","USD 30,985","USD 15,315","USD 60,643","USD 29,817",Numbeo City
Canada,Vancouver,CAN,North America,High income,0.840,"USD 37,258","USD 19,257","USD 33,751","USD 16,942","USD 30,175","USD 15,359","USD 60,443","USD 29,259",Numbeo City
Canada,Victoria,CAN,North America,High income,0.840,"USD 32,244","USD 19,050","USD 28,800","USD 16,634","USD 26,865","USD 13,861","USD 51,168","USD 28,641",Numbeo City
Canada,London,CAN,North America,High income,0.840,"USD 26,253","USD 15,605","USD 23,294","USD 13,534","USD 21,901","USD 12,006","USD 41,136","USD 23,106",Numbeo City
United Kingdom,Liverpool,GBR,Europe & Central Asia,High income,0.849,"USD 29,135","USD 13,942","USD 26,362","USD 12,343","USD 23,206","USD 10,498","USD 46,747","USD 20,536",Numbeo City
Norway,Trondheim,NOR,Europe & Central Asia,High income,0.851,"USD 24,535","USD 14,527","USD 21,503","USD 12,471","USD 21,316","USD 11,170","USD 37,836","USD 20,990",Numbeo City
Australia,Sydney,AUS,East Asia & Pacific,High income,0.896,"USD 36,043","USD 15,743","USD 32,754","USD 13,987","USD 30,363","USD 12,510","USD 59,405","USD 23,964",Numbeo City
Germany,Munich,DEU,Europe & Central Asia,High income,0.759,"USD 39,063","USD 20,235","USD 34,762","USD 17,621","USD 30,385","USD 15,314","USD 63,898","USD 31,200",Numbeo City
Austria,Vienna,AUT,Europe & Central Asia,High income,0.769,"USD 26,724","USD 13,964","USD 23,721","USD 12,001","USD 20,280","USD 9,895","USD 42,443","USD 20,491",Numbeo City
United Kingdom,Belfast,GBR,Europe & Central Asia,High income,0.849,"USD 27,927","USD 15,368","USD 25,104","USD 13,584","USD 23,201","USD 11,957","USD 44,023","USD 22,603",Numbeo City
United States,"Austin, TX",USA,North America,High income,1.000,"USD 36,700","USD 17,537","USD 33,416","USD 15,699","USD 29,803","USD 12,635","USD 60,684","USD 27,130",Numbeo City
United States,"Baltimore, MD",USA,North America,High income,1.000,"USD 28,376","USD 16,761","USD 25,531","USD 14,905","USD 28,098","USD 11,835","USD 44,635","USD 24,900",Numbeo City
United States,"Chicago, IL",USA,North America,High income,1.000,"USD 42,080","USD 19,613","USD 38,378","USD 17,576","USD 34,779","USD 15,170","USD 69,296","USD 30,025",Numbeo City
United States,"Columbus, OH",USA,North America,High income,1.000,"USD 29,405","USD 16,459","USD 26,501","USD 14,625","USD 23,801","USD 11,719","USD 46,707","USD 24,515",Numbeo City
United States,"Dallas, TX",USA,North America,High income,1.000,"USD 36,660","USD 18,678","USD 33,344","USD 16,740","USD 27,142","USD 14,081","USD 59,306","USD 28,232",Numbeo City
United States,"Houston, TX",USA,North America,High income,1.000,"USD 32,057","USD 16,976","USD 29,078","USD 15,186","USD 25,352","USD 12,546","USD 52,038","USD 25,935",Numbeo City
United States,"Indianapolis, IN",USA,North America,High income,1.000,"USD 29,057","USD 15,624","USD 26,231","USD 13,890","USD 25,645","USD 12,202","USD 46,556","USD 23,408",Numbeo City
United States,"Minneapolis, MN",USA,North America,High income,1.000,"USD 32,487","USD 18,381","USD 29,309","USD 16,359","USD 27,861","USD 13,285","USD 51,265","USD 27,193",Numbeo City
United States,"Orlando, FL",USA,North America,High income,1.000,"USD 33,075","USD 19,510","USD 29,874","USD 17,430","USD 27,908","USD 14,342","USD 52,924","USD 29,662",Numbeo City
United States,"Philadelphia, PA",USA,North America,High income,1.000,"USD 38,941","USD 19,250","USD 35,316","USD 17,137","USD 29,992","USD 14,045","USD 62,455","USD 28,409",Numbeo City
United States,"Phoenix, AZ",USA,North America,High income,1.000,"USD 33,535","USD 18,121","USD 30,315","USD 16,134","USD 27,345","USD 13,838","USD 53,649","USD 27,097",Numbeo City
United States,"Pittsburgh, PA",USA,North America,High income,1.000,"USD 29,077","USD 15,992","USD 26,212","USD 14,203","USD 25,195","USD 11,960","USD 45,831","USD 23,495",Numbeo City
United States,"Raleigh, NC",USA,North America,High income,1.000,"USD 31,873","USD 16,743","USD 28,836","USD 14,909","USD 25,683","USD 12,555","USD 51,587","USD 25,356",Numbeo City
United States,"Sacramento, CA",USA,North America,High income,1.000,"USD 36,305","USD 20,300","USD 32,889","USD 18,158","USD 31,110","USD 15,440","USD 58,016","USD 30,561",Numbeo City
United States,"Tampa, FL",USA,North America,High income,1.000,"USD 37,772","USD 19,183","USD 34,383","USD 17,211","USD 31,832","USD 14,362","USD 62,017","USD 29,633",Numbeo City
United States,"Brooklyn, NY",USA,North America,High income,1.000,"USD 60,679","USD 26,798","USD 55,629","USD 24,155","USD 47,414","USD 21,355","USD 100,583","USD 41,218",Numbeo City
Argentina,Buenos Aires,ARG,Latin America & Caribbean,Upper middle income,0.459,"USD 18,194","USD 9,786","USD 16,774","USD 8,824","USD 13,127","USD 6,369","USD 28,871","USD 14,405",Numbeo City
United States,"Denver, CO",USA,North America,High income,1.000,"USD 34,820","USD 19,847","USD 31,534","USD 17,766","USD 30,878","USD 15,197","USD 55,789","USD 30,101",Numbeo City
United States,"Salt Lake City, UT",USA,North America,High income,1.000,"USD 30,101","USD 16,212","USD 27,245","USD 14,472","USD 24,050","USD 12,790","USD 48,407","USD 24,486",Numbeo City
United States,"Albuquerque, NM",USA,North America,High income,1.000,"USD 25,180","USD 14,829","USD 22,610","USD 13,157","USD 19,521","USD 10,307","USD 40,376","USD 22,552",Numbeo City
Germany,Frankfurt,DEU,Europe & Central Asia,High income,0.759,"USD 33,232","USD 17,764","USD 29,322","USD 15,312","USD 25,999","USD 13,547","USD 53,362","USD 26,719",Numbeo City
Spain,Barcelona,ESP,Europe & Central Asia,High income,0.608,"USD 24,325","USD 12,645","USD 23,007","USD 11,553","USD 22,434","USD 10,371","USD 39,852","USD 19,508",Numbeo City
Canada,Edmonton,CAN,North America,High income,0.840,"USD 24,853","USD 14,612","USD 22,000","USD 12,622","USD 20,094","USD 10,725","USD 38,914","USD 21,554",Numbeo City
United States,"Cleveland, OH",USA,North America,High income,1.000,"USD 32,488","USD 15,633","USD 29,445","USD 13,896","USD 25,286","USD 11,395","USD 52,275","USD 23,100",Numbeo City
Canada,Calgary,CAN,North America,High income,0.840,"USD 26,527","USD 15,743","USD 23,535","USD 13,647","USD 23,279","USD 12,015","USD 41,482","USD 23,237",Numbeo City
Canada,Halifax,CAN,North America,High income,0.840,"USD 29,154","USD 16,870","USD 25,975","USD 14,659","USD 25,177","USD 13,008","USD 46,134","USD 25,166",Numbeo City
Canada,Ottawa,CAN,North America,High income,0.840,"USD 28,381","USD 16,539","USD 25,310","USD 14,407","USD 24,898","USD 12,983","USD 44,634","USD 24,538",Numbeo City
Canada,Toronto,CAN,North America,High income,0.840,"USD 30,854","USD 17,634","USD 27,726","USD 15,492","USD 27,105","USD 14,286","USD 49,046","USD 26,503",Numbeo City
Canada,Montreal,CAN,North America,High income,0.840,"USD 26,627","USD 15,121","USD 23,662","USD 13,076","USD 22,050","USD 10,970","USD 41,914","USD 22,312",Numbeo City
United States,"Charlotte, NC",USA,North America,High income,1.000,"USD 36,528","USD 17,983","USD 33,191","USD 16,064","USD 27,260","USD 13,240","USD 59,297","USD 27,108",Numbeo City
United States,"Detroit, MI",USA,North America,High income,1.000,"USD 31,060","USD 15,918","USD 28,078","USD 14,140","USD 23,517","USD 10,873","USD 49,180","USD 23,215",Numbeo City
United States,"Madison, WI",USA,North America,High income,1.000,"USD 32,370","USD 17,970","USD 29,286","USD 16,047","USD 26,128","USD 13,689","USD 52,049","USD 27,245",Numbeo City
United States,"San Antonio, TX",USA,North America,High income,1.000,"USD 29,273","USD 15,536","USD 26,452","USD 13,824","USD 23,231","USD 10,796","USD 47,362","USD 23,563",Numbeo City
Australia,Adelaide,AUS,East Asia & Pacific,High income,0.896,"USD 22,041","USD 12,495","USD 19,639","USD 10,946","USD 21,238","USD 10,643","USD 34,932","USD 18,631",Numbeo City
Australia,Brisbane,AUS,East Asia & Pacific,High income,0.896,"USD 25,337","USD 12,845","USD 22,736","USD 11,282","USD 21,422","USD 9,723","USD 41,536","USD 19,738",Numbeo City
Australia,Canberra,AUS,East Asia & Pacific,High income,0.896,"USD 25,938","USD 12,925","USD 23,283","USD 11,343","USD 21,901","USD 11,111","USD 41,791","USD 19,290",Numbeo City
Australia,Melbourne,AUS,East Asia & Pacific,High income,0.896,"USD 28,422","USD 14,835","USD 25,587","USD 13,113","USD 22,310","USD 10,861","USD 45,652","USD 22,282",Numbeo City
Australia,Perth,AUS,East Asia & Pacific,High income,0.896,"USD 25,217","USD 13,096","USD 22,634","USD 11,526","USD 21,833","USD 10,707","USD 40,606","USD 19,699",Numbeo City
Finland,Helsinki,FIN,Europe & Central Asia,High income,0.816,"USD 26,527","USD 14,457","USD 24,235","USD 12,832","USD 21,203","USD 10,319","USD 42,135","USD 21,469",Numbeo City
