Country Name,City,Country Code,Region,IncomeGroup,"PPP Ratio
Italy,Rome,ITA,Europe & Central Asia,High income,0.649,"USD 32,086","USD 16,283","USD 28,893","USD 14,159","USD 24,954","USD 11,406","USD 52,199","USD 24,736",Numbeo City
Italy,Turin,ITA,Europe & Central Asia,High income,0.649,"USD 23,750","USD 13,232","USD 20,866","USD 11,220","USD 17,736","USD 9,091","USD 37,130","USD 19,197",Numbeo City
France,Paris,FRA,Europe & Central Asia,High income,0.737,"USD 35,729","USD 17,473","USD 33,887","USD 16,345","USD 25,962","USD 12,331","USD 58,096","USD 26,428",Numbeo City
Greece,Thessaloniki,GRC,Europe & Central Asia,High income,0.558,"USD 15,612","USD 9,427","USD 14,301","USD 8,432","USD 11,780","USD 6,404","USD 24,192","USD 13,726",Numbeo City
Germany,Berlin,DEU,Europe & Central Asia,High income,0.759,"USD 34,861","USD 18,638","USD 30,862","USD 16,146","USD 28,004","USD 13,015","USD 56,407","USD 28,387",Numbeo City
Germany,Hamburg,DEU,Europe & Central Asia,High income,0.759,"USD 32,278","USD 17,535","USD 28,441","USD 15,106","USD 25,566","USD 12,410","USD 51,774","USD 26,403",Numbeo City
Germany,Stuttgart,DEU,Europe & Central Asia,High income,0.759,"USD 28,884","USD 16,642","USD 25,289","USD 14,283","USD 24,721","USD 12,280","USD 45,715","USD 24,838",Numbeo City
Slovenia,Ljubljana,SVN,Europe & Central Asia,High income,0.596,"USD 29,551","USD 15,627","USD 26,427","USD 13,698","USD 22,444","USD 11,476","USD 47,494","USD 23,449",Numbeo City
Greece,Athens,GRC,Europe & Central Asia,High income,0.558,"USD 17,864","USD 10,669","USD 16,526","USD 9,650","USD 13,213","USD 7,292","USD 27,958","USD 15,743",Numbeo City
Spain,Madrid,ESP,Europe & Central Asia,High income,0.608,"USD 25,578","USD 12,145","USD 24,305","USD 11,066","USD 20,954","USD 9,889","USD 42,016","USD 18,557",Numbeo City
Estonia,Tallinn,EST,Europe & Central Asia,High income,0.624,"USD 19,507","USD 10,785","USD 17,607","USD 9,451","USD 14,475","USD 7,289","USD 30,786","USD 15,849",Numbeo City
Spain,Valencia,ESP,Europe & Central Asia,High income,0.608,"USD 21,022","USD 10,567","USD 19,845","USD 9,604","USD 18,744","USD 8,521","USD 34,422","USD 16,214",Numbeo City
Uruguay,Montevideo,URY,Latin America & Caribbean,High income,0.656,"USD 16,714","USD 10,351","USD 15,188","USD 9,241","USD 12,429","USD 7,007","USD 25,286","USD 14,735",Numbeo City
Sweden,Stockholm,SWE,Europe & Central Asia,High income,0.803,"USD 27,142","USD 14,622","USD 25,359","USD 13,366","USD 23,823","USD 10,636","USD 42,883","USD 21,483",Numbeo City
New Zealand,Auckland,NZL,East Asia & Pacific,High income,0.886,"USD 24,337","USD 13,255","USD 22,079","USD 11,844","USD 19,284","USD 10,477","USD 38,608","USD 19,701",Numbeo City
New Zealand,Wellington,NZL,East Asia & Pacific,High income,0.886,"USD 23,324","USD 13,398","USD 21,092","USD 11,954","USD 18,441","USD 10,714","USD 36,820","USD 19,954",Numbeo City
Canada,Winnipeg,CAN,North America,High income,0.840,"USD 22,749","USD 14,247","USD 20,030","USD 12,315","USD 18,199","USD 10,857","USD 35,207","USD 20,982",Numbeo City
Mexico,Monterrey,MEX,Latin America & Caribbean,Upper middle income,0.542,"USD 17,215","USD 10,046","USD 15,778","USD 9,181","USD 13,788","USD 6,524","USD 27,213","USD 14,967",Numbeo City
Croatia,Zagreb,HRV,Europe & Central Asia,High income,0.485,"USD 24,512","USD 13,791","USD 22,000","USD 12,127","USD 19,706","USD 10,022","USD 38,407","USD 20,163",Numbeo City
Latvia,Riga,LVA,Europe & Central Asia,High income,0.537,"USD 19,181","USD 10,957","USD 17,165","USD 9,546","USD 13,893","USD 7,055","USD 29,736","USD 15,784",Numbeo City
Portugal,Lisbon,PRT,Europe & Central Asia,High income,0.559,"USD 29,350","USD 13,542","USD 27,208","USD 12,245","USD 24,112","USD 11,115","USD 48,562","USD 20,884",Numbeo City
Lithuania,Vilnius,LTU,Europe & Central Asia,High income,0.531,"USD 22,781","USD 12,324","USD 20,233","USD 10,561","USD 18,484","USD 9,338","USD 36,074","USD 18,149",Numbeo City
Ukraine,Dnipro,UKR,Europe & Central Asia,Upper middle income,0.291,"USD 10,015","USD 5,305","USD 8,056","USD 4,041","USD 7,295","USD 3,493","USD 15,808","USD 7,711",Numbeo City
Romania,Bucharest,ROU,Europe & Central Asia,High income,0.409,"USD 17,255","USD 9,162","USD 15,941","USD 8,354","USD 13,386","USD 6,269","USD 27,407","USD 13,474",Numbeo City
Romania,Cluj-Napoca,ROU,Europe & Central Asia,High income,0.409,"USD 18,370","USD 10,402","USD 16,983","USD 9,519","USD 14,612","USD 7,583","USD 29,019","USD 15,405",Numbeo City
Serbia,Belgrade,SRB,Europe & Central Asia,Upper middle income,0.417,"USD 19,315","USD 9,641","USD 18,120","USD 8,881","USD 15,042","USD 6,620","USD 31,582","USD 14,684",Numbeo City
United Arab Emirates,Dubai,ARE,Middle East & North Africa,High income,0.635,"USD 31,987","USD 14,262","USD 28,324","USD 12,299","USD 26,464","USD 10,146","USD 53,976","USD 22,792",Numbeo City
Portugal,Porto,PRT,Europe & Central Asia,High income,0.559,"USD 24,087","USD 12,382","USD 22,178","USD 11,159","USD 20,430","USD 9,454","USD 39,280","USD 18,958",Numbeo City
Romania,Brasov,ROU,Europe & Central Asia,High income,0.409,"USD 18,177","USD 9,975","USD 16,823","USD 9,131","USD 14,315","USD 6,735","USD 29,044","USD 14,928",Numbeo City
Bulgaria,Sofia,BGR,Europe & Central Asia,High income,0.419,"USD 17,279","USD 9,460","USD 15,935","USD 8,659","USD 13,502","USD 6,846","USD 27,340","USD 13,929",Numbeo City
Slovakia,Bratislava,SVK,Europe & Central Asia,High income,0.543,"USD 23,387","USD 13,011","USD 21,129","USD 11,527","USD 19,706","USD 9,730","USD 36,959","USD 19,210",Numbeo City
Poland,Gdansk,POL,Europe & Central Asia,High income,0.490,"USD 18,223","USD 9,477","USD 15,595","USD 7,810","USD 15,836","USD 7,716","USD 29,333","USD 14,212",Numbeo City
Russia,Moscow,RUS,Europe & Central Asia,High income,0.314,"USD 24,191","USD 9,136","USD 21,653","USD 7,915","USD 18,322","USD 6,745","USD 40,528","USD 13,982",Numbeo City
Poland,Wroclaw,POL,Europe & Central Asia,High income,0.490,"USD 17,858","USD 9,844","USD 15,245","USD 8,141","USD 15,267","USD 7,711","USD 28,669","USD 14,864",Numbeo City
Hungary,Budapest,HUN,Europe & Central Asia,High income,0.480,"USD 21,240","USD 11,780","USD 19,094","USD 10,397","USD 16,235","USD 8,144","USD 33,936","USD 17,659",Numbeo City
Bulgaria,Varna,BGR,Europe & Central Asia,High income,0.419,"USD 14,614","USD 8,634","USD 13,429","USD 7,880","USD 10,959","USD 5,882","USD 22,494","USD 12,401",Numbeo City
South Africa,Cape Town,ZAF,Sub-Saharan Africa,Upper middle income,0.405,"USD 17,419","USD 9,189","USD 23,546","USD 12,515","USD 15,258","USD 6,656","USD 27,927","USD 13,770",Numbeo City
South Africa,Johannesburg,ZAF,Sub-Saharan Africa,Upper middle income,0.405,"USD 14,623","USD 8,151","USD 19,826","USD 11,131","USD 9,725","USD 5,500","USD 22,582","USD 11,690",Numbeo City
Czech Republic,Prague,CZE,Europe & Central Asia,High income,0.552,"USD 25,897","USD 12,868","USD 22,909","USD 11,114","USD 19,714","USD 10,041","USD 42,405","USD 19,683",Numbeo City
Montenegro,Podgorica,MNE,Europe & Central Asia,Upper middle income,0.389,"USD 14,076","USD 7,978","USD 14,217","USD 7,981","USD 10,921","USD 5,552","USD 22,062","USD 11,673",Numbeo City
Poland,Warsaw,POL,Europe & Central Asia,High income,0.490,"USD 22,899","USD 11,438","USD 19,859","USD 9,570","USD 19,023","USD 9,020","USD 37,543","USD 17,563",Numbeo City
Kazakhstan,Almaty,KAZ,Europe & Central Asia,Upper middle income,0.346,"USD 14,703","USD 7,559","USD 15,117","USD 8,079","USD 11,824","USD 5,259","USD 23,679","USD 11,307",Numbeo City
Turkey,Istanbul,TUR,Europe & Central Asia,Upper middle income,0.348,"USD 21,670","USD 10,276","USD 20,680","USD 9,599","USD 18,527","USD 7,570","USD 35,203","USD 15,432",Numbeo City
Mexico,Guadalajara,MEX,Latin America & Caribbean,Upper middle income,0.542,"USD 16,156","USD 8,143","USD 14,814","USD 7,434","USD 12,059","USD 5,393","USD 25,849","USD 11,995",Numbeo City
Mexico,Mexico City,MEX,Latin America & Caribbean,Upper middle income,0.542,"USD 21,914","USD 9,455","USD 20,133","USD 8,642","USD 14,941","USD 6,613","USD 36,119","USD 14,259",Numbeo City
Georgia,Tbilisi,GEO,Europe & Central Asia,Upper middle income,0.327,"USD 14,827","USD 7,350","USD 14,838","USD 7,287","USD 11,203","USD 4,923","USD 23,865","USD 10,890",Numbeo City
Chile,Santiago,CHL,Latin America & Caribbean,High income,0.462,"USD 12,676","USD 7,471","USD 11,365","USD 6,501","USD 9,246","USD 4,903","USD 19,646","USD 10,857",Numbeo City
Poland,Krakow (Cracow),POL,Europe & Central Asia,High income,0.490,"USD 18,248","USD 10,251","USD 15,603","USD 8,514","USD 15,902","USD 8,028","USD 29,185","USD 15,463",Numbeo City
Poland,Katowice,POL,Europe & Central Asia,High income,0.490,"USD 14,543","USD 8,549","USD 12,214","USD 6,974","USD 12,243","USD 6,102","USD 22,804","USD 12,622",Numbeo City
Poland,Poznan,POL,Europe & Central Asia,High income,0.490,"USD 16,377","USD 8,935","USD 13,938","USD 7,352","USD 14,357","USD 7,014","USD 26,198","USD 13,394",Numbeo City
Poland,Lodz,POL,Europe & Central Asia,High income,0.490,"USD 15,111","USD 8,821","USD 12,729","USD 7,217","USD 11,596","USD 6,196","USD 23,530","USD 12,899",Numbeo City
Azerbaijan,Baku,AZE,Europe & Central Asia,Upper middle income,0.290,"USD 11,441","USD 5,472","USD 10,466","USD 4,877","USD 8,454","USD 3,781","USD 18,248","USD 7,920",Numbeo City
Ukraine,Kiev (Kyiv),UKR,Europe & Central Asia,Upper middle income,0.291,"USD 12,688","USD 5,995","USD 10,383","USD 4,596","USD 10,072","USD 4,316","USD 20,394","USD 8,761",Numbeo City
Romania,Iasi,ROU,Europe & Central Asia,High income,0.409,"USD 14,660","USD 8,623","USD 13,473","USD 7,842","USD 11,415","USD 6,177","USD 22,610","USD 12,417",Numbeo City
Belarus,Minsk,BLR,Europe & Central Asia,Upper middle income,0.252,"USD 10,426","USD 5,763","USD 8,976","USD 4,794","USD 8,841","USD 3,979","USD 16,412","USD 8,429",Numbeo City
Russia,Saint Petersburg,RUS,Europe & Central Asia,High income,0.314,"USD 15,241","USD 7,347","USD 13,450","USD 6,308","USD 12,476","USD 5,226","USD 24,559","USD 10,898",Numbeo City
Serbia,Novi Sad,SRB,Europe & Central Asia,Upper middle income,0.417,"USD 15,365","USD 8,705","USD 14,285","USD 7,970","USD 11,066","USD 6,014","USD 24,092","USD 12,731",Numbeo City
Armenia,Yerevan,ARM,Europe & Central Asia,Upper middle income,0.375,"USD 15,519","USD 7,830","USD 15,802","USD 7,936","USD 12,766","USD 5,724","USD 24,888","USD 11,585",Numbeo City
Kazakhstan,Astana (Nur-Sultan),KAZ,Europe & Central Asia,Upper middle income,0.346,"USD 11,615","USD 6,179","USD 12,075","USD 6,672","USD 8,763","USD 4,112","USD 18,546","USD 9,171",Numbeo City
Singapore,Singapore,SGP,East Asia & Pacific,High income,0.602,"USD 41,339","USD 18,404","USD 36,290","USD 15,511","USD 32,606","USD 14,828","USD 69,067","USD 28,795",Numbeo City
Czech Republic,Brno,CZE,Europe & Central Asia,High income,0.552,"USD 19,403","USD 10,947","USD 16,952","USD 9,376","USD 16,920","USD 8,557","USD 30,959","USD 16,429",Numbeo City
Czech Republic,Plzen,CZE,Europe & Central Asia,High income,0.552,"USD 15,183","USD 9,879","USD 13,038","USD 8,377","USD 13,009","USD 7,551","USD 23,279","USD 14,438",Numbeo City
Turkey,Ankara,TUR,Europe & Central Asia,Upper middle income,0.348,"USD 14,559","USD 7,799","USD 13,676","USD 7,167","USD 12,787","USD 6,179","USD 23,247","USD 11,575",Numbeo City
Bulgaria,Plovdiv,BGR,Europe & Central Asia,High income,0.419,"USD 13,174","USD 7,861","USD 12,095","USD 7,170","USD 9,991","USD 5,219","USD 20,213","USD 11,270",Numbeo City
South Africa,Pretoria,ZAF,Sub-Saharan Africa,Upper middle income,0.405,"USD 14,379","USD 8,758","USD 19,484","USD 11,923","USD 10,468","USD 6,447","USD 21,224","USD 12,161",Numbeo City
Bosnia And Herzegovina,Sarajevo,BIH,Europe & Central Asia,Upper middle income,0.374,"USD 18,535","USD 9,975","USD 17,685","USD 9,288","USD 12,479","USD 6,535","USD 28,878","USD 14,278",Numbeo City
South Korea,Seoul,KOR,East Asia & Pacific,High income,0.594,"USD 24,779","USD 13,117","USD 19,872","USD 9,745","USD 15,690","USD 8,234","USD 38,459","USD 18,532",Numbeo City
Moldova,Chisinau,MDA,Europe & Central Asia,Upper middle income,0.407,"USD 13,388","USD 6,669","USD 11,923","USD 5,862","USD 10,154","USD 4,656","USD 21,685","USD 10,004",Numbeo City
Brazil,Brasilia,BRA,Latin America & Caribbean,Upper middle income,0.462,"USD 11,341","USD 5,863","USD 10,509","USD 5,330","USD 7,407","USD 3,583","USD 17,901","USD 8,495",Numbeo City
Brazil,Sao Paulo,BRA,Latin America & Caribbean,Upper middle income,0.462,"USD 14,384","USD 7,449","USD 13,407","USD 6,826","USD 9,907","USD 4,827","USD 22,882","USD 10,957",Numbeo City
Hong Kong (China),Hong Kong,HKG,East Asia & Pacific,High income,0.719,"USD 37,015","USD 16,492","USD 31,921","USD 13,459","USD 27,163","USD 12,544","USD 61,858","USD 25,793",Numbeo City
Brazil,Florianopolis,BRA,Latin America & Caribbean,Upper middle income,0.462,"USD 11,967","USD 6,779","USD 11,140","USD 6,236","USD 8,996","USD 4,548","USD 18,706","USD 9,946",Numbeo City
Brazil,Rio de Janeiro,BRA,Latin America & Caribbean,Upper middle income,0.462,"USD 11,544","USD 6,106","USD 10,708","USD 5,566","USD 9,488","USD 4,107","USD 18,035","USD 8,771",Numbeo City
North Macedonia,Skopje,MKD,Europe & Central Asia,Upper middle income,0.344,"USD 8,938","USD 5,286","USD 8,621","USD 5,004","USD 7,002","USD 3,704","USD 13,687","USD 7,546",Numbeo City
South Africa,Durban,ZAF,Sub-Saharan Africa,Upper middle income,0.405,"USD 10,831","USD 6,503","USD 14,758","USD 8,918","USD 7,570","USD 4,436","USD 16,865","USD 9,537",Numbeo City
Jordan,Amman,JOR,Middle East & North Africa,Lower middle income,0.427,"USD 9,538","USD 5,558","USD 11,103","USD 6,604","USD 7,419","USD 3,640","USD 14,649","USD 7,954",Numbeo City
Colombia,Bogota,COL,Latin America & Caribbean,Upper middle income,0.354,"USD 10,624","USD 6,232","USD 10,196","USD 5,911","USD 8,156","USD 4,212","USD 16,504","USD 9,084",Numbeo City
Brazil,Porto Alegre,BRA,Latin America & Caribbean,Upper middle income,0.462,"USD 9,572","USD 5,646","USD 8,817","USD 5,132","USD 7,018","USD 3,690","USD 14,546","USD 7,999",Numbeo City
Philippines,Manila,PHL,East Asia & Pacific,Lower middle income,0.338,"USD 17,288","USD 6,871","USD 15,806","USD 6,242","USD 8,709","USD 3,939","USD 28,033","USD 9,801",Numbeo City
Kosovo (Disputed Territory),Pristina,XKX,Europe & Central Asia,Upper middle income,0.393,"USD 7,600","USD 4,440","USD 6,446","USD 3,701","USD 5,671","USD 2,956","USD 11,803","USD 6,442",Numbeo City
Uzbekistan,Tashkent,UZB,Europe & Central Asia,Lower middle income,0.266,"USD 10,832","USD 5,131","USD 11,515","USD 5,844","USD 8,516","USD 3,634","USD 17,493","USD 7,570",Numbeo City
Brazil,Belo Horizonte,BRA,Latin America & Caribbean,Upper middle income,0.462,"USD 10,013","USD 5,610","USD 9,254","USD 5,107","USD 8,065","USD 3,742","USD 15,333","USD 7,942",Numbeo City
Brazil,Curitiba,BRA,Latin America & Caribbean,Upper middle income,0.462,"USD 9,481","USD 5,528","USD 8,754","USD 5,040","USD 7,265","USD 3,636","USD 14,456","USD 7,867",Numbeo City
Kenya,Nairobi,KEN,Sub-Saharan Africa,Lower middle income,0.321,"USD 12,071","USD 5,466","USD 12,722","USD 6,141","USD 7,444","USD 3,274","USD 19,284","USD 7,843",Numbeo City
India,Delhi,IND,South Asia,Lower middle income,0.241,"USD 7,813","USD 3,768","USD 7,321","USD 3,527","USD 4,483","USD 2,154","USD 12,599","USD 5,583",Numbeo City
India,Gurgaon,IND,South Asia,Lower middle income,0.241,"USD 8,666","USD 4,179","USD 8,122","USD 3,912","USD 5,093","USD 2,283","USD 14,038","USD 6,232",Numbeo City
India,Mumbai,IND,South Asia,Lower middle income,0.241,"USD 15,792","USD 5,184","USD 14,814","USD 4,856","USD 8,833","USD 3,274","USD 26,991","USD 8,139",Numbeo City
Morocco,Casablanca,MAR,Middle East & North Africa,Lower middle income,0.399,"USD 10,148","USD 4,834","USD 10,269","USD 4,951","USD 7,854","USD 3,410","USD 16,296","USD 7,087",Numbeo City
Taiwan,Taipei,,,,,"USD 17,964","USD 9,988","USD 19,886","USD 11,490","USD 12,063","USD 6,355","USD 27,778","USD 14,215",Numbeo City
Oman,Muscat,OMN,Middle East & North Africa,High income,0.486,"USD 13,619","USD 7,304","USD 13,318","USD 7,287","USD 10,052","USD 4,989","USD 21,152","USD 10,446",Numbeo City
Malaysia,Kuala Lumpur,MYS,East Asia & Pacific,Upper middle income,0.306,"USD 13,462","USD 6,987","USD 12,053","USD 6,111","USD 10,060","USD 4,546","USD 21,247","USD 10,094",Numbeo City
Egypt,Cairo,EGY,Middle East & North Africa,Lower middle income,0.175,"USD 5,436","USD 2,883","USD 5,673","USD 3,110","USD 3,537","USD 1,913","USD 8,538","USD 4,156",Numbeo City
Sri Lanka,Colombo,LKA,South Asia,Lower middle income,0.289,"USD 12,312","USD 5,609","USD 11,542","USD 5,249","USD 7,864","USD 3,594","USD 19,431","USD 7,821",Numbeo City
China,Beijing,CHN,East Asia & Pacific,Upper middle income,0.491,"USD 19,490","USD 8,143","USD 17,117","USD 6,731","USD 14,791","USD 5,356","USD 32,294","USD 12,374",Numbeo City
China,Shanghai,CHN,East Asia & Pacific,Upper middle income,0.491,"USD 18,746","USD 7,864","USD 16,435","USD 6,484","USD 12,236","USD 5,215","USD 31,057","USD 11,951",Numbeo City
Peru,Lima,PER,Latin America & Caribbean,Upper middle income,0.475,"USD 13,796","USD 7,011","USD 13,070","USD 6,635","USD 11,429","USD 4,765","USD 21,854","USD 10,162",Numbeo City
India,Pune,IND,South Asia,Lower middle income,0.241,"USD 7,202","USD 3,659","USD 6,747","USD 3,424","USD 4,504","USD 2,272","USD 11,469","USD 5,351",Numbeo City
Tunisia,Tunis,TUN,Middle East & North Africa,Lower middle income,0.288,"USD 6,806","USD 4,082","USD 7,075","USD 4,217","USD 5,248","USD 2,675","USD 10,307","USD 5,743",Numbeo City
China,Shenzhen,CHN,East Asia & Pacific,Upper middle income,0.491,"USD 16,722","USD 7,253","USD 14,507","USD 5,892","USD 10,368","USD 4,650","USD 27,443","USD 10,864",Numbeo City
India,Ahmedabad,IND,South Asia,Lower middle income,0.241,"USD 5,397","USD 3,158","USD 5,051","USD 2,953","USD 3,243","USD 1,872","USD 8,289","USD 4,504",Numbeo City
China,Guangzhou,CHN,East Asia & Pacific,Upper middle income,0.491,"USD 13,686","USD 6,281","USD 11,611","USD 4,948","USD 9,296","USD 3,795","USD 21,898","USD 9,044",Numbeo City
Thailand,Bangkok,THA,East Asia & Pacific,Upper middle income,0.297,"USD 17,457","USD 6,902","USD 14,957","USD 5,572","USD 9,907","USD 4,256","USD 28,318","USD 9,875",Numbeo City
India,Bangalore,IND,South Asia,Lower middle income,0.241,"USD 8,340","USD 3,991","USD 7,816","USD 3,736","USD 5,140","USD 2,318","USD 13,563","USD 5,993",Numbeo City
China,Chengdu,CHN,East Asia & Pacific,Upper middle income,0.491,"USD 10,246","USD 5,507","USD 8,481","USD 4,313","USD 7,032","USD 3,303","USD 16,009","USD 7,910",Numbeo City
India,Hyderabad,IND,South Asia,Lower middle income,0.241,"USD 6,715","USD 3,409","USD 6,290","USD 3,189","USD 4,047","USD 1,958","USD 10,615","USD 4,929",Numbeo City
India,Kolkata,IND,South Asia,Lower middle income,0.241,"USD 5,201","USD 2,698","USD 4,869","USD 2,523","USD 2,970","USD 1,461","USD 8,175","USD 3,867",Numbeo City
Vietnam,Hanoi,VNM,East Asia & Pacific,Lower middle income,0.288,"USD 9,843","USD 5,240","USD 8,923","USD 4,731","USD 7,054","USD 3,408","USD 15,605","USD 7,673",Numbeo City
Vietnam,Ho Chi Minh City,VNM,East Asia & Pacific,Lower middle income,0.288,"USD 11,672","USD 5,752","USD 10,593","USD 5,197","USD 8,552","USD 3,498","USD 18,742","USD 8,471",Numbeo City
Nepal,Kathmandu,NPL,South Asia,Lower middle income,0.252,"USD 5,048","USD 2,639","USD 5,065","USD 2,646","USD 3,038","USD 1,509","USD 7,787","USD 3,676",Numbeo City
India,Chennai,IND,South Asia,Lower middle income,0.241,"USD 5,623","USD 3,299","USD 5,264","USD 3,085","USD 3,546","USD 1,854","USD 8,649","USD 4,722",Numbeo City
